"audio","audio_example","audio_meaning","image","text_example","text_example_translate","text_meaning","text_meaning_translate","transcription","word","word_translate","difficulty"
"files/28_0543.mp3","files/28_0543_example.mp3","files/28_0543_meaning.mp3","files/28_0543.jpg","I think the Internet is boring","Я думаю, что Интернет скучен","If something is boring, it is not fun","Если что-то скучно, это не весело","[bɔ́ːriŋ]","boring","скучно",1
"files/28_0544.mp3","files/28_0544_example.mp3","files/28_0544_meaning.mp3","files/28_0544.jpg","She canceled the rest of her plans because of the rain","Она отменила все свои планы из-за дождя","To cancel means to decide that an event or a request will not happen","Отменить означает решить, что событие или запрос не произойдет","[kǽnsəl]","cancel","отмена",1
"files/28_0545.mp3","files/28_0545_example.mp3","files/28_0545_meaning.mp3","files/28_0545.jpg","The long driveway led us to their new house","Долгий путь привел нас к их новому дому","A driveway is a short private road that leads to a person’s home","Подъездная дорога - это короткая частная дорога, которая ведет к дому человека","[dráivwèi]","driveway","подъездные пути",1
"files/28_0546.mp3","files/28_0546_example.mp3","files/28_0546_meaning.mp3","files/28_0546.jpg","The boy cleaned up the garbage around his house","Мальчик убрал мусор вокруг своего дома","Garbage is waste material like unwanted or spoiled food, bottles, paper, etc","Мусор - это отходы, такие как нежелательные или испорченные продукты, бутылки, бумага и т. Д","[gɑ́ːrbidʒ]","garbage","мусор",1
"files/28_0547.mp3","files/28_0547_example.mp3","files/28_0547_meaning.mp3","files/28_0547.jpg","My favorite musical instrument is the piano","Мой любимый музыкальный инструмент - пианино","An instrument is something designed to do a certain task like play music","Инструмент - это нечто, предназначенное для выполнения определенной задачи, например, для воспроизведения музыки","[ínstrəmənt]","instrument","инструмент",1
"files/28_0548.mp3","files/28_0548_example.mp3","files/28_0548_meaning.mp3","files/28_0548.jpg","My mom makes a list of groceries to buy","Моя мама составляет список покупок","A list is a record of information printed with an item on each line","Список - это запись информации, напечатанной с элементом в каждой строке","[list]","list","список",1
"files/28_0549.mp3","files/28_0549_example.mp3","files/28_0549_meaning.mp3","files/28_0549.jpg","The magician used magic to pull a rabbit out of his hat","Маг использовал магию, чтобы вытащить кролика из шляпы","Magic is the power to do impossible things","Магия - это сила делать невозможные вещи","[mǽdʒik]","magic","магия",1
"files/28_0550.mp3","files/28_0550_example.mp3","files/28_0550_meaning.mp3","files/28_0550.jpg","I left a message for you in the envelope","Я оставил тебе сообщение в конверте","A message is a set of words that you send to someone","Сообщение - это набор слов, которые вы отправляете кому-то","[mésidʒ]","message","сообщение",1
"files/28_0551.mp3","files/28_0551_example.mp3","files/28_0551_meaning.mp3","files/28_0551.jpg","Did you notice the view?","Вы заметили вид?","To notice something is to see it for the first time","Заметить что-то - значит увидеть это впервые","[nóutis]","notice","уведомление",1
"files/28_0552.mp3","files/28_0552_example.mp3","files/28_0552_meaning.mp3","files/28_0552.jpg","My grandfather owns that house","Мой дедушка владеет этим домом","To own something means to have it. That thing belongs to you","Владеть чем-то - значит иметь это. Эта вещь принадлежит тебе","[oun]","own","своя",1
"files/28_0553.mp3","files/28_0553_example.mp3","files/28_0553_meaning.mp3","files/28_0553.jpg","She predicted that I would get married next year","Она предсказала, что я выйду замуж в следующем году","To predict something is to say that it will happen","Предсказать что-то значит сказать, что это произойдет","[pridíkt]","predict","предсказать",1
"files/28_0554.mp3","files/28_0554_example.mp3","files/28_0554_meaning.mp3","files/28_0554.jpg","Mike’s science professor knows a lot about physics","Профессор Майка много знает о физике","A professor is a person who teaches in college","Профессор - это человек, который преподает в колледже","[prəfésər]","professor","профессор",1
"files/28_0555.mp3","files/28_0555_example.mp3","files/28_0555_meaning.mp3","files/28_0555.jpg","Nancy rushed to finish her homework","Нэнси поспешила закончить домашнее задание","To rush is to go somewhere or do something very quickly","Спешить - значит идти куда-то или делать что-то очень быстро","[rʌʃ]","rush","порыв",1
"files/28_0556.mp3","files/28_0556_example.mp3","files/28_0556_meaning.mp3","files/28_0556.jpg","What is your class schedule for today?","Какое у тебя расписание занятий на сегодня?","A schedule is a plan that tells you when to do things","Расписание - это план, который говорит вам, когда нужно что-то делать","[skédʒuːl]","schedule","график",1
"files/28_0557.mp3","files/28_0557_example.mp3","files/28_0557_meaning.mp3","files/28_0557.jpg","Jimmy shared his apple with me","Джимми поделился со мной своим яблоком","To share something is to give some of it to another person","Поделиться чем-то - это передать что-то другому","[ʃɛəːr]","share","доля",1
"files/28_0558.mp3","files/28_0558_example.mp3","files/28_0558_meaning.mp3","files/28_0558.jpg","A large screen was on the stage","Большой экран был на сцене","A stage is a place where actors or musicians act or sing","Сцена - это место, где актеры или музыканты играют или поют","[steidʒ]","stage","сцена",1
"files/28_0559.mp3","files/28_0559_example.mp3","files/28_0559_meaning.mp3","files/28_0559.jpg","Did that storm wake you up last night?","Этот шторм разбудил тебя прошлой ночью?","A storm is very bad weather. There is a lot of rain or snow","Шторм очень плохая погода. Там много дождя или снега","[stɔːrm]","storm","буря",1
"files/28_0560.mp3","files/28_0560_example.mp3","files/28_0560_meaning.mp3","files/28_0560.jpg","Within the box, there was a pizza","Внутри коробки была пицца","You use within to say that something is inside another thing","Вы используете внутри, чтобы сказать, что что-то находится внутри другого","[wiðín]","within","в пределах",1
"files/29_0561.mp3","files/29_0561_example.mp3","files/29_0561_meaning.mp3","files/29_0561.jpg","Children who do not behave are a burden to their parents","Дети, которые не ведут себя, являются обузой для их родителей","A burden is a serious or difficult responsibility","Бремя - это серьезная или трудная ответственность","[bə́ːrdn]","burden","бремя",1
"files/29_0562.mp3","files/29_0562_example.mp3","files/29_0562_meaning.mp3","files/29_0562.jpg","We both compromised about the game we decided to play","Мы оба пошли на компромисс по поводу игры, в которую решили играть","To compromise is to agree to something that is not exactly what you want","Идти на компромисс - значит соглашаться на то, что не совсем то, что вы хотите","[kɑ́mprəmàiz]","compromise","компромисс",1
"files/29_0563.mp3","files/29_0563_example.mp3","files/29_0563_meaning.mp3","files/29_0563.jpg","She crafted the bookcase out of solid pine wood and then painted it","Она изготовила книжный шкаф из массива сосны, а затем покрасила его","To craft something is to make it using skill","Сделать что-то - значит сделать это, используя умение","[kræft]","craft","ремесло",1
"files/29_0564.mp3","files/29_0564_example.mp3","files/29_0564_meaning.mp3","files/29_0564.jpg","I like sky-diving from an airplane","Мне нравится скайдайвинг с самолета","When you dive into water, you go down head first into the water","Когда вы погружаетесь в воду, вы спускаетесь головой вниз в воду","[daiv]","dive","погружение",1
"files/29_0565.mp3","files/29_0565_example.mp3","files/29_0565_meaning.mp3","files/29_0565.jpg","The fragile glassware was carefully packed into boxes","Хрупкая стеклянная посуда была тщательно упакована в коробки","When people or things are fragile, they are not strong and can be damaged easily","Когда люди или вещи хрупкие, они не сильны и могут быть легко повреждены","[frǽdʒəl]","fragile","хрупкий",1
"files/29_0566.mp3","files/29_0566_example.mp3","files/29_0566_meaning.mp3","files/29_0566.jpg","The machine can divide the book in half","Машина может разделить книгу пополам","If you cut something into two parts that are the same size, you cut it half","Если вы разрезаете что-то на две части одинакового размера, вы разрезаете это пополам","[hæf]","half","половина",1
"files/29_0567.mp3","files/29_0567_example.mp3","files/29_0567_meaning.mp3","files/29_0567.jpg","Everyone who met her found her innocence to be charming","Все, кто встречал ее, находили ее невинность очаровательной","Innocence is a lack of experience of difficult or complex things in life","Невинность - это недостаток опыта сложных или сложных вещей в жизни","[ínəsəns]","innocence","невинность",1
"files/29_0568.mp3","files/29_0568_example.mp3","files/29_0568_meaning.mp3","files/29_0568.jpg","I will lead you to the right place","Я приведу вас в нужное место","When you lead something, you go first and it follows you","Когда ты ведешь что-то, ты идешь первым, и это следует за тобой","[liːd]","lead","вести",1
"files/29_0569.mp3","files/29_0569_example.mp3","files/29_0569_meaning.mp3","files/29_0569.jpg","We have lots of meetings at our school to plan what to do","У нас в школе много встреч, чтобы спланировать, что делать","When you have a meeting, you are with other people","Когда у тебя встреча, ты с другими людьми","[míːtiŋ]","meeting","встреча",1
"files/29_0570.mp3","files/29_0570_example.mp3","files/29_0570_meaning.mp3","files/29_0570.jpg","The storm clouds merged into one large menacing cloud that filled the sky","Грозовые тучи слились в одно большое грозное облако, которое заполнило небо","To merge two things is to combine them into one whole thing","Объединить две вещи - значит объединить их в одно целое","[məːrdʒ]","merge","слияние",1
"files/29_0571.mp3","files/29_0571_example.mp3","files/29_0571_meaning.mp3","files/29_0571.jpg","It takes a moderate amount of patience to be around small children all day","Требуется умеренное количество терпения, чтобы быть рядом с маленькими детьми сь нь","When something is moderate, it is not too big or too small in size or amount","Когда что-то умеренное, оно не слишком большое или слишком маленькое по размеру или количеству","[mɑ́dərèit]","moderate","умеренный",1
"files/29_0572.mp3","files/29_0572_example.mp3","files/29_0572_meaning.mp3","files/29_0572.jpg","The amount of homework her teacher assigned has overwhelmed her","Количество домашних заданий, которые назначил ее учитель, ошеломило ее","To overwhelm is to exist in such a large amount that someone cannot deal with it","Подавить значит существовать в таком большом количестве, что кто-то не может справиться с этим","[òuvərhwélm]","overwhelm","нападает",1
"files/29_0573.mp3","files/29_0573_example.mp3","files/29_0573_meaning.mp3","files/29_0573.jpg","I made the last payment on my car yesterday. Now I am really the owner","Я сделал последний платеж на моей машине вчера. Теперь я действительно владелец","When you make a payment, you give someone some money for what you get","Когда вы делаете платеж, вы даете кому-то немного денег за то, что вы получаете","[péimənt]","payment","оплата",1
"files/29_0574.mp3","files/29_0574_example.mp3","files/29_0574_meaning.mp3","files/29_0574.jpg","Since he couldn’t see, his perception of life was much different than mine","Так как он не мог видеть, его восприятие жизни сильно отличалось от моего","A perception of a situation is a way of thinking about it or understanding it","Восприятие ситуации - это способ думать об этом или понимать его","[pərsépʃən]","perception","восприятие",1
"files/29_0575.mp3","files/29_0575_example.mp3","files/29_0575_meaning.mp3","files/29_0575.jpg","We settled the argument by looking up the answer on the web","Мы уладили спор, посмотрев ответ в Интернете","When you settle something, you reach an agreement","Когда вы что-то решаете, вы достигаете соглашения","[sétl]","settle","селиться",1
"files/29_0576.mp3","files/29_0576_example.mp3","files/29_0576_meaning.mp3","files/29_0576.jpg","I got shivers on my way home because it was so cold","По дороге домой я получил дрожь, потому что было так холодно","A shiver is a shaking movement the body makes when someone is cold or scared","Дрожь - это дрожащее движение, которое делает тело, когда кто-то холоден или напуган","[ʃívəːr]","shiver","мурашки",1
"files/29_0577.mp3","files/29_0577_example.mp3","files/29_0577_meaning.mp3","files/29_0577.jpg","Many of my good friends are sociable, but I am shy","Многие из моих хороших друзей общительны, но я стесняюсь","When someone is sociable, they are friendly","Когда кто-то общительный, он дружелюбный","[sóuʃəbl]","sociable","общительный",1
"files/29_0578.mp3","files/29_0578_example.mp3","files/29_0578_meaning.mp3","files/29_0578.jpg","Speeding is the cause of most car accidents","Ускорение является причиной большинства автомобильных аварий","When you speed, you go very fast","Когда ты ускоряешься, ты едешь очень быстро","[spiːd]","speed","скорость",1
"files/29_0579.mp3","files/29_0579_example.mp3","files/29_0579_meaning.mp3","files/29_0579.jpg","My aunt is very talkative whenever she is on the phone","Моя тетя очень разговорчива, когда разговаривает по телефону","When someone is talkative, he or she talks a lot","Когда кто-то болтлив, он или она много говорит","[tɔ́ːkətiv]","talkative","разговорчивы",1
"files/29_0580.mp3","files/29_0580_example.mp3","files/29_0580_meaning.mp3","files/29_0580.jpg","It was just the usual people who came","Это были просто обычные люди, которые пришли","When something is usual, it is what we expect","Когда что-то обычное, это то, что мы ожидаем","[júːʒuəl]","usual","обычный",1
"files/30_0581.mp3","files/30_0581_example.mp3","files/30_0581_meaning.mp3","files/30_0581.jpg","He straightened the sign that was above the crowd","Он поправил знак, который был над толпой","If something is above, it is at a higher level than something else","Если что-то выше, это на более высоком уровне, чем что-то другое","[əbʌ́v]","above","над",1
"files/30_0582.mp3","files/30_0582_example.mp3","files/30_0582_meaning.mp3","files/30_0582.jpg","The blue car drove on ahead of us","Синяя машина ехала впереди нас","If something is ahead of something else, it is in front of it","Если что-то впереди чего-то другого, то оно впереди","[əhéd]","ahead","вперед",1
"files/30_0583.mp3","files/30_0583_example.mp3","files/30_0583_meaning.mp3","files/30_0583.jpg","Can I use my card to pay for the entire amount?","Могу ли я использовать свою карту для оплаты всей суммы?","An amount is how much there is of something","Количество - это то, сколько есть чего-то","[əmáunt]","amount","количество",1
"files/30_0584.mp3","files/30_0584_example.mp3","files/30_0584_meaning.mp3","files/30_0584.jpg","A preacher or priest should have a strong belief in God","Проповедник или священник должны иметь твердую веру в Бога","A belief is a strong feeling that something is correct or true","Вера - это сильное чувство, что что-то правильно или верно","[bilíːf]","belief","вера",1
"files/30_0585.mp3","files/30_0585_example.mp3","files/30_0585_meaning.mp3","files/30_0585.jpg","The center of a dart board is the most important spot","Центр доски для дартса - самое важное место","The center of something is the middle of it","Центр чего-то - это середина","[séntər]","center","центр",1
"files/30_0586.mp3","files/30_0586_example.mp3","files/30_0586_meaning.mp3","files/30_0586.jpg","It is common for snow to fall in the winter","Зимой выпадает снег","If something is common, it happens often or there is much of it","Если что-то общее, это случается часто или его много","[kɑ́mən]","common","общий",1
"files/30_0587.mp3","files/30_0587_example.mp3","files/30_0587_meaning.mp3","files/30_0587.jpg","These designer shoes cost more than the regular ones","Эти дизайнерские туфли стоят дороже обычных","To cost is to require payment","К стоимости - значит требовать оплату","[kɔːst]","cost","стоимость",1
"files/30_0588.mp3","files/30_0588_example.mp3","files/30_0588_meaning.mp3","files/30_0588.jpg","She demonstrated her plan to her co-workers","Она продемонстрировала свой план своим сотрудникам","To demonstrate something is to show how it is done","Продемонстрировать что-то значит показать, как это делается","[démənstrèit]","demonstrate","продемонстрировать",1
"files/30_0589.mp3","files/30_0589_example.mp3","files/30_0589_meaning.mp3","files/30_0589.jpg","Each of my sisters has a different hair style","У каждой из моих сестер разные прически","Different describes someone or something that is not the same as others","Разное описывает кого-то или что-то, что не совпадает с другими","[dífərənt]","different","другой",1
"files/30_0590.mp3","files/30_0590_example.mp3","files/30_0590_meaning.mp3","files/30_0590.jpg","He used the pictures as evidence that UFOs are real","Он использовал фотографии в качестве доказательства того, что НЛО реальны","Evidence is a fact or thing that you use to prove something","Доказательства - это факт или вещь, которую вы используете, чтобы доказать что-то","[évidəns]","evidence","доказательство",1
"files/30_0591.mp3","files/30_0591_example.mp3","files/30_0591_meaning.mp3","files/30_0591.jpg","A courtroom should be a place of honesty","Зал суда должен быть местом честности","Honesty means the quality of being truthful or honest","Честность означает качество быть правдивым или честным","[ɑ́nisti]","honesty","честность",1
"files/30_0592.mp3","files/30_0592_example.mp3","files/30_0592_meaning.mp3","files/30_0592.jpg","The idiom “when pigs fly” means that something will never happen","Идиома «когда свиньи летают» означает, что что-то никогда не случится","An idiom is a phrase with a meaning different from its words","Идиома - это фраза, значение которой отличается от ее слов","[ídiəm]","idiom","идиома",1
"files/30_0593.mp3","files/30_0593_example.mp3","files/30_0593_meaning.mp3","files/30_0593.jpg","She chose to live an independent life in the country","Она решила жить независимой жизнью в стране","If something is independent, it is not controlled by something else","Если что-то является независимым, оно не контролируется чем-то другим","[ìndipéndənt]","independent","независимый",1
"files/30_0594.mp3","files/30_0594_example.mp3","files/30_0594_meaning.mp3","files/30_0594.jpg","The inside of the box was empty","Внутри коробки было пусто","Inside means the inner part, space or side of something","Внутри означает внутреннюю часть, пространство или сторону чего-либо","[ínsáid]","inside","внутри",1
"files/30_0595.mp3","files/30_0595_example.mp3","files/30_0595_meaning.mp3","files/30_0595.jpg","He was sent to jail for taking other people’s cars","Его посадили в тюрьму за то, что он брал чужие машины","A jail is a place to keep bad people","Тюрьма - это место, где содержатся плохие люди","[dʒeil]","jail","тюрьма",1
"files/30_0596.mp3","files/30_0596_example.mp3","files/30_0596_meaning.mp3","files/30_0596.jpg","My brother is a master of taekwondo","Мой брат мастер тхэквондо","A master is a person who is very good at something","Мастер - это человек, который очень хорош в чем-то","[mǽstəːr]","master","мастер",1
"files/30_0597.mp3","files/30_0597_example.mp3","files/30_0597_meaning.mp3","files/30_0597.jpg","The memory of my first time in the city will always be the best","Память о моем первом пребывании в городе всегда будет лучшей","A memory is something you remember","Память - это то, что ты помнишь","[méməri]","memory","память",1
"files/30_0598.mp3","files/30_0598_example.mp3","files/30_0598_meaning.mp3","files/30_0598.jpg","She always had her hands in her pockets","Она всегда держала руки в карманах","A pocket is a part of your clothing where you can keep things","Карман - это часть вашей одежды, где вы можете хранить вещи","[pάkit]","pocket","карман",1
"files/30_0599.mp3","files/30_0599_example.mp3","files/30_0599_meaning.mp3","files/30_0599.jpg","It is not proper to throw your garbage on the road","Не стоит выбрасывать мусор на дорогу","If something is proper, it is right","Если что-то правильно, это правильно","[prɑ́pər]","proper","правильный",1
"files/30_0600.mp3","files/30_0600_example.mp3","files/30_0600_meaning.mp3","files/30_0600.jpg","Everything for sale here is the same price","Все для продажи здесь по той же цене","If something is for sale, you can buy it","Если что-то продается, вы можете купить это","[seil]","sale","продажа",1
"files/01_0601.mp3","files/01_0601_example.mp3","files/01_0601_meaning.mp3","files/01_0601.jpg","We need to study because we have a test tomorrow","Нам нужно учиться, потому что завтра у нас тест","Because introduces a reason for something","Потому что вводит причину чего-то","[bikɔ́ːz]","because","потому что",2
"files/01_0602.mp3","files/01_0602_example.mp3","files/01_0602_meaning.mp3","files/01_0602.jpg","My window looks to the east, so I can watch the sunrise every morning","Мое окно смотрит на восток, поэтому я могу наблюдать восход солнца каждое утро","East is the direction the sun rises from","Восток - это направление, из которого восходит солнце","[iːst]","east","восток",2
"files/01_0603.mp3","files/01_0603_example.mp3","files/01_0603_meaning.mp3","files/01_0603.jpg","My friend drives an expensive sports car","Мой друг водит дорогой спортивный автомобиль","Expensive things cost a lot of money","Дорогие вещи стоят больших денег","[ikspénsiv]","expensive","дорогой",2
"files/01_0604.mp3","files/01_0604_example.mp3","files/01_0604_meaning.mp3","files/01_0604.jpg","She gave pink flowers to her grandmother","Она дала розовые цветы своей бабушке","A flower is the colored part of a plant","Цветок - это цветная часть растения","[fáuər]","flower","цветок",2
"files/01_0605.mp3","files/01_0605_example.mp3","files/01_0605_meaning.mp3","files/01_0605.jpg","The garden is very bright and colorful in the spring","Сад очень яркий и красочный весной","A garden is an area where people grow plants","Сад - это место, где люди выращивают растения","[gάːrdn]","garden","сад",2
"files/01_0606.mp3","files/01_0606_example.mp3","files/01_0606_meaning.mp3","files/01_0606.jpg","Monday was a holiday, so there was no school or work","Понедельник был выходным, поэтому не было школы или работы","A holiday is a special day of celebration","Праздник - особый день празднования","[hάlədèi]","holiday","праздничный день",2
"files/01_0607.mp3","files/01_0607_example.mp3","files/01_0607_meaning.mp3","files/01_0607.jpg","There are many people on the street","На улице много людей","Many shows that there is a large number of something","Многие показывают, что есть много чего-то","[méni]","many","многие",2
"files/01_0608.mp3","files/01_0608_example.mp3","files/01_0608_meaning.mp3","files/01_0608.jpg","Almost 19 million people live in Delhi, India","Почти 19 миллионов человек живут в Дели, Индия","A million is another way to write the number 1,000,000","Миллион - это еще один способ написать число 1 000 000","[míljən]","million","миллион",2
"files/01_0609.mp3","files/01_0609_example.mp3","files/01_0609_meaning.mp3","files/01_0609.jpg","Mount Everest is the highest mountain in the world","Гора Эверест - самая высокая гора в мире","A mountain is a very high hill","Гора - это очень высокий холм","[máuntən]","mountain","гора",2
"files/01_0610.mp3","files/01_0610_example.mp3","files/01_0610_meaning.mp3","files/01_0610.jpg","A library is a place where people can read books","Библиотека - это место, где люди могут читать книги","A place is a space or area","Место - это пространство или область","[pleis]","place","место",2
"files/01_0611.mp3","files/01_0611_example.mp3","files/01_0611_meaning.mp3","files/01_0611.jpg","These people are listening to a popular man speak","Эти люди слушают разговор популярного человека","A popular thing is liked by many people","Популярная вещь нравится многим людям","[pάpjulər]","popular","популярный",2
"files/01_0612.mp3","files/01_0612_example.mp3","files/01_0612_meaning.mp3","files/01_0612.jpg","The man likes to ski and goes every weekend","Мужчина любит кататься на лыжах и ездит каждые выходные","To ski is to glide on long pieces of wood or metal over snow","Кататься на лыжах - значит скользить по длинным кускам дерева или металла по снегу","[skiː]","ski","лыжи",2
"files/01_0613.mp3","files/01_0613_example.mp3","files/01_0613_meaning.mp3","files/01_0613.jpg","I have never seen such a beautiful sunset before","Я никогда раньше не видел такой красивый закат","Such means “like this”","Такие означает 'как это'","[sʌtʃ]","such","такой",2
"files/01_0614.mp3","files/01_0614_example.mp3","files/01_0614_meaning.mp3","files/01_0614.jpg",".The total cost of the items she bought was $52","Общая стоимость предметов, которые она купила, составила 52 доллара","Total shows that everyone or everything has been counted","Всего показывает, что все или все было посчитано","[tóutl]","total","всего",2
"files/01_0615.mp3","files/01_0615_example.mp3","files/01_0615_meaning.mp3","files/01_0615.jpg","This is a very famous tower in Italy","Это очень известная башня в Италии","A tower is a tall, narrow building","Башня - это высокое узкое здание","[táuər]","tower","башня",2
"files/01_0616.mp3","files/01_0616_example.mp3","files/01_0616_meaning.mp3","files/01_0616.jpg","I come from a small town, and everyone there knows each other","Я из маленького городка, и все там знают друг друга","A town is a place where people live and work, and is smaller than a city","Город - это место, где люди живут и работают, и он меньше города","[taun]","town","город",2
"files/01_0617.mp3","files/01_0617_example.mp3","files/01_0617_meaning.mp3","files/01_0617.jpg","The train is very fast, so we can get home in one hour","Поезд очень быстрый, поэтому мы можем добраться домой за один час","A train is a group of railway cars connected together","Поезд - это группа железнодорожных вагонов, соединенных вместе","[trein]","train","поезд",2
"files/01_0618.mp3","files/01_0618_example.mp3","files/01_0618_meaning.mp3","files/01_0618.jpg","The children walk to school in the morning","Дети гуляют в школу по утрам","To walk is to move forward using legs, but it is slower than running","Ходить - значит двигаться вперед, используя ноги, но это медленнее, чем бег","[wɔːk]","walk","ходить",2
"files/01_0619.mp3","files/01_0619_example.mp3","files/01_0619_meaning.mp3","files/01_0619.jpg","My friend came over to watch a movie with me","Мой друг пришел посмотреть фильм со мной","To watch is to look at someone or something for a period of time","Смотреть - значит смотреть на кого-то или что-то в течение определенного периода времени","[waʧ]","watch","смотреть",2
"files/01_0620.mp3","files/01_0620_example.mp3","files/01_0620_meaning.mp3","files/01_0620.jpg","What are the names of the five oceans of the world?","Как называются пять океанов мира?","The world is the Earth and all the people and things in it","Мир - это Земля и все люди и вещи в ней","[wəːrld]","world","мир",2
"files/02_0621.mp3","files/02_0621_example.mp3","files/02_0621_meaning.mp3","files/02_0621.jpg","She was anxious about not making her appointment on time","Она беспокоилась о том, чтобы не договориться о встрече вовремя","Anxious means feeling worried or nervous","Тревожно означает чувствовать себя обеспокоенным или нервным","[ǽŋkʃəs]","anxious","озабоченный",2
"files/02_0622.mp3","files/02_0622_example.mp3","files/02_0622_meaning.mp3","files/02_0622.jpg","Her performance last night was awful","Ее выступление прошлой ночью было ужасным","An awful thing is very bad","Ужасно очень плохо","[ɔ́ːfəl]","awful","ужасный",2
"files/02_0623.mp3","files/02_0623_example.mp3","files/02_0623_meaning.mp3","files/02_0623.jpg","Today’s choices for lunch consisted of pizza, hamburgers, and hot dogs","Сегодняшний выбор на обед состоял из пиццы, гамбургеров и хот-догов","To consist of certain is to be made of parts or things them","Быть состоящим из определенного означает быть составленным из частей или вещей из них","[kənsíst]","consist","состоят",2
"files/02_0624.mp3","files/02_0624_example.mp3","files/02_0624_meaning.mp3","files/02_0624.jpg","My sister desires a big house and lots of money","Моя сестра хочет большой дом и много денег","To desire is to want something","Желать - значит хотеть чего-то","[dizáiər]","desire","желание",2
"files/02_0625.mp3","files/02_0625_example.mp3","files/02_0625_meaning.mp3","files/02_0625.jpg","The man was eager to talk about the good news","Человек стремился говорить о хороших новостях","Eager shows excitement about something","Стремление показывает волнение о чем-то","[íːgər]","eager","нетерпеливый",2
"files/02_0626.mp3","files/02_0626_example.mp3","files/02_0626_meaning.mp3","files/02_0626.jpg","Our household is made up of my father, my mother, and me","Наша семья состоит из моего отца, моей матери и меня","A household is all the people who live in one house","Домохозяйство - это все люди, которые живут в одном доме","[háushòuld]","household","домашнее хозяйство",2
"files/02_0627.mp3","files/02_0627_example.mp3","files/02_0627_meaning.mp3","files/02_0627.jpg","Her intent is to visit Italy next summer","Ее намерение - посетить Италию следующим летом","An intent is a plan to do something","Намерение - это план что-то сделать","[intént]","intent","намерение",2
"files/02_0628.mp3","files/02_0628_example.mp3","files/02_0628_meaning.mp3","files/02_0628.jpg","The landscape of the country is very green","Ландшафт страны очень зеленый","A landscape is how an area of land looks","Пейзаж - это то, как выглядит участок земли","[lǽndskèip]","landscape","пейзаж",2
"files/02_0629.mp3","files/02_0629_example.mp3","files/02_0629_meaning.mp3","files/02_0629.jpg","The man tried to lift the box","Человек пытался поднять коробку","To lift something is to move it higher","Поднять что-то значит поднять это выше","[lift]","lift","лифт",2
"files/02_0630.mp3","files/02_0630_example.mp3","files/02_0630_meaning.mp3","files/02_0630.jpg","The man loaded the boxes into a truck","Человек загрузил коробки в грузовик","To load is to put objects into something","Загрузить значит положить объекты во что-то","[loud]","load","нагрузка",2
"files/02_0631.mp3","files/02_0631_example.mp3","files/02_0631_meaning.mp3","files/02_0631.jpg","Having strong lungs is necessary for a healthy life","Наличие крепких легких необходимо для здоровой жизни","A lung is a part of the body that fills with air when breathing","Легкое - это часть тела, которая при дыхании наполняется воздухом","[lʌŋ]","lung","легкое",2
"files/02_0632.mp3","files/02_0632_example.mp3","files/02_0632_meaning.mp3","files/02_0632.jpg","The police officer made a motion with his hand","Полицейский сделал движение рукой","A motion is a movement that someone makes","Движение - это движение, которое кто-то делает","[móuʃən]","motion","движение",2
"files/02_0633.mp3","files/02_0633_example.mp3","files/02_0633_meaning.mp3","files/02_0633.jpg","I ran the race at a slower pace than my friend","Я провел гонку медленнее, чем мой друг","The pace of something is the speed at which it happens","Скорость чего-то - это скорость, с которой это происходит","[peis]","pace","темп",2
"files/02_0634.mp3","files/02_0634_example.mp3","files/02_0634_meaning.mp3","files/02_0634.jpg","The boy was very polite; he behaved very thoughtfully","Мальчик был очень вежлив, он вел себя очень вдумчиво","Polite shows a thoughtful and kind behavior","Вежливый демонстрирует продуманное и доброе поведение","[pəláit]","polite","вежливый",2
"files/02_0635.mp3","files/02_0635_example.mp3","files/02_0635_meaning.mp3","files/02_0635.jpg","My uncle possesses three sheep, a chicken, a cow, and a dog","У моего дяди три овцы, курица, корова и собака","To possess something is to have it or own it","Иметь что-то - значит иметь это или владеть этим","[pəzés]","possess","обладают",2
"files/02_0636.mp3","files/02_0636_example.mp3","files/02_0636_meaning.mp3","files/02_0636.jpg","The train moved rapidly on the tracks","Поезд быстро двигался по рельсам","Rapidly means happening very fast","Быстро значит происходить очень быстро","[rǽpidli]","rapidly","быстро",2
"files/02_0637.mp3","files/02_0637_example.mp3","files/02_0637_meaning.mp3","files/02_0637.jpg","The teacher remarked on how quickly the students were learning","Учитель отметил, как быстро учатся студенты","To remark is to say something","Замечать - значит говорить что-то","[rimɑ́ːrk]","remark","замечание",2
"files/02_0638.mp3","files/02_0638_example.mp3","files/02_0638_meaning.mp3","files/02_0638.jpg","If I have a problem, I seek my sister’s advice","Если у меня есть проблема, я обращаюсь к совету моей сестры","To seek is to look for something","Искать значит искать что-то","[siːk]","seek","стремиться",2
"files/02_0639.mp3","files/02_0639_example.mp3","files/02_0639_meaning.mp3","files/02_0639.jpg","The candles are shining in the dark room","В темной комнате светятся свечи","To shine is to make a bright light","Светить - это делать яркий свет","[ʃain]","shine","сияние",2
"files/02_0640.mp3","files/02_0640_example.mp3","files/02_0640_meaning.mp3","files/02_0640.jpg","I spilled the coffee on the table","Я пролил кофе на стол","To spill is to accidentally make something fall out of its container","Разлить - это случайно выпустить что-то из контейнера","[spil]","spill","проливать",2
